                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.63694,                0.60809,                0.97248,                0.86615,                0.82086,                0.91633,                0.79194,                0.59393,                0.53765,                0.92766,               0.002872,               0.002872,               0.002872
                     38,                0.63418,                0.60048,                0.97063,                0.86418,                0.82658,                0.91429,                0.79074,                0.59276,                0.54163,                  0.931,               0.002674,               0.002674,               0.002674
                     39,                0.63205,                0.59779,                0.97009,                0.85689,                0.82941,                0.91446,                0.79076,                0.59311,                0.54191,                 0.9288,               0.002476,               0.002476,               0.002476
                     40,                0.62571,                0.58924,                0.96862,                0.84776,                 0.8401,                0.91391,                0.79046,                0.59281,                0.54246,                0.93314,               0.002278,               0.002278,               0.002278
                     41,                0.58548,                0.54043,                0.92457,                0.85002,                0.83619,                0.91419,                0.79149,                0.59175,                0.53818,                0.91997,                0.00208,                0.00208,                0.00208
                     42,                0.57729,                0.52921,                 0.9197,                0.84954,                0.83838,                0.91349,                0.79081,                 0.5925,                0.54281,                0.92266,               0.001882,               0.001882,               0.001882
                     43,                0.57413,                0.51662,                0.92134,                0.85549,                0.83383,                0.91359,                0.79109,                0.59309,                0.54088,                0.92414,               0.001684,               0.001684,               0.001684
                     44,                0.57012,                0.50802,                0.92064,                0.85547,                 0.8353,                0.91315,                0.79086,                0.59231,                0.54127,                0.92362,               0.001486,               0.001486,               0.001486
                     45,                 0.5678,                0.49932,                 0.9197,                0.85797,                0.83398,                0.91169,                0.79024,                0.59262,                0.54629,                 0.9253,               0.001288,               0.001288,               0.001288
                     46,                0.56194,                0.48925,                0.91933,                0.85965,                0.83116,                0.91111,                0.78986,                0.59175,                0.54691,                0.92667,                0.00109,                0.00109,                0.00109
                     47,                0.55909,                0.48307,                0.91563,                0.86372,                0.82708,                0.91079,                0.78938,                0.59239,                0.54788,                0.92522,               0.000892,               0.000892,               0.000892
                     48,                0.55695,                0.47464,                0.91461,                0.85921,                0.82952,                0.90944,                0.78857,                0.59238,                0.55133,                0.92404,               0.000694,               0.000694,               0.000694
                     49,                0.55377,                0.46562,                  0.913,                0.85952,                0.82827,                0.90909,                0.78878,                 0.5924,                0.55433,                0.92473,               0.000496,               0.000496,               0.000496
                     50,                0.54936,                 0.4624,                0.91338,                0.85654,                0.83095,                0.90912,                0.78842,                0.59259,                0.55492,                0.92653,               0.000298,               0.000298,               0.000298
